2016-12-22 00:00:13,Inne,22.4,14
2016-12-22 00:01:13,Inne,22.4,14
2016-12-22 00:01:56,Ute,6.3,74
2016-12-22 00:02:13,Inne,22.4,14
2016-12-22 00:03:13,Inne,22.4,14
2016-12-22 00:04:13,Inne,22.4,14
2016-12-22 00:04:56,Ute,6.4,75
2016-12-22 00:05:12,Inne,22.4,14
2016-12-22 00:05:56,Ute,6.4,75
2016-12-22 00:06:12,Inne,22.4,14
2016-12-22 00:06:56,Ute,6.4,75
2016-12-22 00:07:12,Inne,22.4,14
2016-12-22 00:07:56,Ute,6.4,75
2016-12-22 00:08:12,Inne,22.4,14
2016-12-22 00:08:55,Ute,6.5,75
2016-12-22 00:09:12,Inne,22.4,14
2016-12-22 00:09:55,Ute,6.5,75
2016-12-22 00:10:12,Inne,22.4,14
2016-12-22 00:10:55,Ute,6.4,75
2016-12-22 00:11:12,Inne,22.4,14
2016-12-22 00:12:12,Inne,22.4,14
2016-12-22 00:13:11,Inne,22.4,14
2016-12-22 00:13:54,Ute,6.4,75
2016-12-22 00:14:11,Inne,22.3,14
2016-12-22 00:14:55,Ute,6.5,75
2016-12-22 00:15:11,Inne,22.3,14
2016-12-22 00:15:54,Ute,6.5,75
2016-12-22 00:16:11,Inne,22.3,14
2016-12-22 00:17:11,Inne,22.3,14
2016-12-22 00:17:54,Ute,6.6,75
2016-12-22 00:18:11,Inne,22.3,14
2016-12-22 00:18:54,Ute,6.6,75
2016-12-22 00:19:10,Inne,22.3,14
2016-12-22 00:20:10,Inne,22.3,14
2016-12-22 00:20:54,Ute,6.6,75
2016-12-22 00:21:10,Inne,22.2,14
2016-12-22 00:21:54,Ute,6.6,75
2016-12-22 00:22:10,Inne,22.2,14
2016-12-22 00:23:10,Inne,22.2,14
2016-12-22 00:24:10,Inne,22.2,14
2016-12-22 00:24:53,Ute,6.7,75
2016-12-22 00:25:10,Inne,22.2,14
2016-12-22 00:25:53,Ute,6.7,75
2016-12-22 00:26:10,Inne,22.2,14
2016-12-22 00:27:09,Inne,22.2,14
2016-12-22 00:28:09,Inne,22.2,14
2016-12-22 00:29:09,Inne,22.2,14
2016-12-22 00:30:09,Inne,22.2,14
2016-12-22 00:31:09,Inne,22.2,14
2016-12-22 00:32:09,Inne,22.2,14
2016-12-22 00:33:09,Inne,22.1,14
2016-12-22 00:34:08,Inne,22.1,14
2016-12-22 00:35:08,Inne,22.1,14
2016-12-22 00:36:08,Inne,22.1,14
2016-12-22 00:37:08,Inne,22.1,14
2016-12-22 00:38:08,Inne,22.1,14
2016-12-22 00:39:08,Inne,22.1,14
2016-12-22 00:39:51,Ute,6.6,75
2016-12-22 00:40:08,Inne,22.0,14
2016-12-22 00:40:51,Ute,6.6,75
2016-12-22 00:41:07,Inne,22.0,14
2016-12-22 00:41:51,Ute,6.6,75
2016-12-22 00:42:07,Inne,22.0,14
2016-12-22 00:42:51,Ute,6.6,75
2016-12-22 00:43:07,Inne,22.0,14
2016-12-22 00:43:51,Ute,6.6,75
2016-12-22 00:44:07,Inne,22.0,14
2016-12-22 00:44:50,Ute,6.6,75
2016-12-22 00:45:07,Inne,22.0,14
2016-12-22 00:45:50,Ute,6.6,75
2016-12-22 00:46:07,Inne,22.0,14
2016-12-22 00:47:07,Inne,22.0,14
2016-12-22 00:47:50,Ute,6.6,75
2016-12-22 00:48:06,Inne,21.9,14
2016-12-22 00:48:50,Ute,6.7,75
2016-12-22 00:49:06,Inne,21.9,14
2016-12-22 00:49:50,Ute,6.6,75
2016-12-22 00:50:06,Inne,21.9,14
2016-12-22 00:50:50,Ute,6.6,75
2016-12-22 00:51:06,Inne,21.9,14
2016-12-22 00:52:06,Inne,21.9,14
2016-12-22 00:53:06,Inne,21.9,14
2016-12-22 00:53:49,Ute,6.6,75
2016-12-22 00:54:06,Inne,21.9,14
2016-12-22 00:54:49,Ute,6.6,75
2016-12-22 00:55:05,Inne,21.9,14
2016-12-22 00:55:49,Ute,6.6,75
2016-12-22 00:56:05,Inne,21.9,14
2016-12-22 00:57:05,Inne,21.9,14
2016-12-22 00:57:49,Ute,6.6,75
2016-12-22 00:58:05,Inne,21.8,14
2016-12-22 00:58:48,Ute,6.5,75
2016-12-22 00:59:05,Inne,21.8,14
2016-12-22 00:59:48,Ute,6.5,75
2016-12-22 01:00:05,Inne,21.8,14
2016-12-22 01:00:48,Ute,6.5,75
2016-12-22 01:01:05,Inne,21.8,14
2016-12-22 01:02:04,Inne,21.8,14
2016-12-22 01:03:04,Inne,21.8,14
2016-12-22 01:04:04,Inne,21.8,14
2016-12-22 01:04:48,Ute,6.5,75
2016-12-22 01:05:04,Inne,21.8,14
2016-12-22 01:05:48,Ute,6.5,75
2016-12-22 01:06:04,Inne,21.8,14
2016-12-22 01:07:04,Inne,21.8,14
2016-12-22 01:07:47,Ute,6.5,75
2016-12-22 01:08:04,Inne,21.8,14
2016-12-22 01:08:47,Ute,6.5,75
2016-12-22 01:09:04,Inne,21.8,14
2016-12-22 01:09:47,Ute,6.5,75
2016-12-22 01:10:03,Inne,21.8,14
2016-12-22 01:10:47,Ute,6.5,75
2016-12-22 01:11:03,Inne,21.8,14
2016-12-22 01:11:47,Ute,6.5,75
2016-12-22 01:12:03,Inne,21.8,14
2016-12-22 01:12:47,Ute,6.5,75
2016-12-22 01:13:03,Inne,21.8,14
2016-12-22 01:14:03,Inne,21.8,14
2016-12-22 01:15:03,Inne,21.8,14
2016-12-22 01:16:02,Inne,21.8,14
2016-12-22 01:16:46,Ute,6.5,75
